Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,Season
1.0,Dolph Schayes,29.0,SYR,PF,72.0,2918.0,24.2,0.508,0.477,9.7,4.0,13.7,0.226,"MVP-2,AS,NBA1",1957
2.0,George Yardley,29.0,DET,SF,72.0,2843.0,23.3,0.505,0.498,10.2,2.2,12.3,0.208,"MVP-3,AS,NBA1",1957
3.0,Larry Costello,26.0,SYR,PG,72.0,2746.0,15.1,0.51,0.426,6.4,2.9,9.2,0.162,AS,1957
4.0,Kenny Sears,24.0,NYK,PF,72.0,2685.0,18.5,0.534,0.542,8.3,1.7,10.0,0.179,"MVP-12,AS",1957
5.0,Bill Russell,23.0,BOS,C,69.0,2640.0,22.8,0.465,0.429,3.7,7.7,11.3,0.206,"MVP-1,AS,NBA2",1957
6.0,Clyde Lovellette,28.0,CIN,C,71.0,2589.0,22.2,0.483,0.263,6.6,3.4,10.1,0.187,MVP-12,1957
7.0,Bob Pettit,25.0,STL,PF,70.0,2528.0,26.3,0.492,0.525,7.7,3.4,11.0,0.209,"MVP-4,AS,NBA1",1957
8.0,Carl Braun,30.0,NYK,PG,71.0,2475.0,17.5,0.495,0.371,5.9,1.7,7.6,0.147,,1957
9.0,Maurice Stokes,24.0,CIN,PF,63.0,2460.0,20.6,0.402,0.282,-0.5,5.0,4.5,0.088,"MVP-5,AS,NBA2",1957
10.0,Neil Johnston,28.0,PHW,C,71.0,2408.0,22.5,0.518,0.49,8.2,3.1,11.3,0.224,"MVP-12,AS",1957
11.0,Vern Mikkelsen,29.0,MNL,PF,72.0,2390.0,18.9,0.489,0.44,5.4,1.1,6.5,0.13,MVP-10,1957
12.0,Red Kerr,25.0,SYR,C,72.0,2384.0,17.9,0.454,0.414,2.6,3.2,5.8,0.118,,1957
13.0,Woody Sauldsberry,23.0,PHW,PF,71.0,2377.0,10.7,0.387,0.201,-2.2,2.5,0.3,0.007,ROY-1,1957
14.0,Paul Arizin,29.0,PHW,SF,68.0,2377.0,18.2,0.479,0.443,5.5,2.3,7.7,0.156,"MVP-8,AS",1957
15.0,Willie Naulls,23.0,NYK,SF,68.0,2369.0,17.1,0.458,0.289,3.1,1.6,4.6,0.094,AS,1957
16.0,Richie Guerin,25.0,NYK,SG,63.0,2368.0,14.9,0.435,0.525,1.8,1.7,3.5,0.07,AS,1957
17.0,Gene Shue,26.0,DET,SG,63.0,2333.0,13.6,0.462,0.356,3.1,1.6,4.6,0.095,AS,1957
18.0,Dick McGuire,32.0,DET,PG,69.0,2311.0,12.2,0.432,0.414,1.6,2.3,4.0,0.082,AS,1957
19.0,George King,29.0,CIN,PG,63.0,2272.0,11.3,0.409,0.352,0.4,2.6,3.0,0.064,,1957
20.0,Jack McMahon,29.0,STL,SG,72.0,2239.0,7.1,0.347,0.307,-2.6,1.9,-0.7,-0.016,,1957
21.0,Bob Cousy,29.0,BOS,PG,65.0,2222.0,17.9,0.415,0.258,0.8,4.6,5.4,0.116,"MVP-6,AS,NBA1",1957
22.0,Dick Garmaker,25.0,MNL,SG,68.0,2216.0,15.2,0.468,0.416,3.7,0.7,4.4,0.095,AS,1957
23.0,Bill Sharman,31.0,BOS,SG,63.0,2214.0,18.8,0.485,0.261,5.8,2.9,8.7,0.189,"MVP-7,AS,NBA1",1957
24.0,Tom Heinsohn,23.0,BOS,PF,69.0,2206.0,16.9,0.439,0.321,1.9,4.1,6.0,0.13,,1957
25.0,Larry Foust,29.0,MNL,C,72.0,2200.0,20.0,0.491,0.576,5.3,1.0,6.4,0.139,AS,1957
26.0,Cliff Hagan,26.0,STL,SF,70.0,2190.0,22.6,0.513,0.441,7.7,2.4,10.0,0.22,"MVP-11,AS,NBA2",1957
27.0,Walter Dukes,27.0,DET,C,72.0,2184.0,13.6,0.42,0.46,0.2,2.2,2.4,0.052,MVP-9,1957
28.0,Jack Twyman,23.0,CIN,SF,72.0,2178.0,18.9,0.514,0.385,7.0,2.2,9.3,0.204,AS,1957
29.0,Tom Gola,25.0,PHW,SG,59.0,2126.0,18.3,0.482,0.421,3.9,3.2,7.1,0.161,NBA2,1957
30.0,Slater Martin,32.0,STL,PG,60.0,2098.0,9.3,0.406,0.359,-0.2,1.6,1.4,0.032,"AS,NBA2",1957
31.0,Joe Graboski,28.0,PHW,PF,72.0,2077.0,12.1,0.395,0.298,-1.4,2.3,0.9,0.022,,1957
32.0,Slick Leonard,25.0,MNL,PG,66.0,2074.0,10.1,0.404,0.338,-0.3,0.7,0.4,0.009,,1957
33.0,Frank Ramsey,26.0,BOS,SG,69.0,2047.0,19.5,0.513,0.524,6.4,3.6,10.0,0.234,,1957
34.0,Harry Gallatin,30.0,DET,PF,72.0,1990.0,19.8,0.48,0.555,4.2,1.9,6.1,0.147,,1957
35.0,Ernie Beck,26.0,PHW,SG,71.0,1974.0,12.7,0.462,0.297,2.4,1.9,4.3,0.104,,1957
36.0,Jack George,29.0,PHW,PG,72.0,1910.0,12.5,0.438,0.386,1.4,2.0,3.4,0.084,,1957
37.0,Ed Macauley,29.0,STL,C,72.0,1908.0,18.4,0.489,0.42,4.5,1.8,6.3,0.157,,1957
38.0,Ed Conlin,24.0,SYR,SF,60.0,1871.0,15.8,0.452,0.308,2.2,2.0,4.3,0.11,,1957
39.0,Chuck Share,30.0,STL,C,72.0,1824.0,14.7,0.461,0.538,1.9,2.2,4.2,0.11,,1957
40.0,Lou Tsioropoulos,27.0,BOS,SF,70.0,1819.0,7.9,0.376,0.332,-1.5,2.9,1.4,0.038,,1957
41.0,Bob Harrison,30.0,SYR,SG,72.0,1799.0,7.2,0.393,0.202,-0.6,1.5,0.9,0.025,,1957
42.0,Jim Paxson,25.0,CIN,SG,67.0,1795.0,11.6,0.431,0.446,0.9,1.9,2.8,0.074,,1957
43.0,Ray Felix,27.0,NYK,C,72.0,1709.0,18.9,0.512,0.565,4.5,1.3,5.8,0.164,,1957
44.0,Ed Fleming,24.0,MNL,SF,72.0,1686.0,12.3,0.413,0.389,0.0,0.7,0.8,0.021,,1957
45.0,Guy Sparrow,25.0,NYK,SF,72.0,1661.0,12.5,0.421,0.307,0.2,1.0,1.2,0.035,,1957
46.0,Richie Regan,27.0,CIN,SG,72.0,1648.0,9.0,0.406,0.302,-0.1,1.6,1.5,0.044,,1957
47.0,Dick Ricketts,24.0,CIN,PF,72.0,1620.0,8.4,0.375,0.295,-1.8,1.9,0.1,0.004,,1957
48.0,Jack Coleman,33.0,STL,PF,72.0,1506.0,13.8,0.442,0.234,1.0,1.6,2.6,0.084,,1957
49.0,Nat Clifton,35.0,DET,PF,68.0,1435.0,10.4,0.397,0.245,-0.7,1.2,0.5,0.017,,1957
50.0,Al Bianchi,25.0,SYR,SG,69.0,1421.0,9.6,0.398,0.328,-0.6,1.3,0.8,0.026,,1957
51.0,Ron Sobie,23.0,NYK,PG,55.0,1399.0,14.9,0.489,0.443,2.8,0.8,3.6,0.124,,1957
52.0,Chuck Noble,26.0,DET,SG,61.0,1363.0,7.0,0.358,0.128,-1.9,1.0,-0.9,-0.033,,1957
53.0,Win Wilfong,24.0,STL,PG,71.0,1360.0,12.6,0.428,0.438,0.7,1.4,2.1,0.073,,1957
54.0,Art Spoelstra,25.0,2TM,,67.0,1305.0,9.9,0.448,0.446,0.9,0.5,1.4,0.053,,1957
54.0,Art Spoelstra,25.0,MNL,,50.0,1098.0,10.4,0.456,0.425,1.0,0.4,1.4,0.06,,1957
54.0,Art Spoelstra,25.0,NYK,C,17.0,207.0,6.8,0.407,0.561,0.0,0.1,0.1,0.017,,1957
55.0,Jim Krebs,22.0,MNL,C,68.0,1259.0,14.2,0.441,0.334,0.8,0.5,1.3,0.05,,1957
56.0,Corky Devlin,26.0,MNL,SG,70.0,1248.0,11.5,0.419,0.352,0.4,0.4,0.8,0.032,,1957
57.0,Bob Hopkins,23.0,SYR,PF,69.0,1224.0,15.1,0.452,0.291,1.3,1.4,2.7,0.106,,1957
58.0,Jack Nichols,31.0,BOS,PF,69.0,1224.0,9.3,0.384,0.165,-0.9,1.9,1.0,0.04,,1957
59.0,Charlie Tyra,22.0,NYK,C,68.0,1182.0,13.5,0.425,0.457,0.3,0.9,1.1,0.046,,1957
60.0,Andy Phillip,35.0,BOS,PG,70.0,1164.0,6.9,0.388,0.26,-0.3,1.7,1.5,0.06,,1957
61.0,Hot Rod Hundley,23.0,MNL,PG,65.0,1154.0,9.5,0.365,0.296,-1.6,0.4,-1.2,-0.051,,1957
62.0,Arnie Risen,33.0,BOS,C,63.0,1119.0,9.9,0.406,0.421,-0.2,2.0,1.8,0.076,,1957
63.0,Med Park,24.0,STL,SG,71.0,1103.0,10.4,0.442,0.446,0.7,0.8,1.6,0.069,,1957
64.0,George Dempsey,28.0,PHW,PG,67.0,1048.0,10.9,0.412,0.338,0.1,1.2,1.4,0.063,,1957
65.0,Earl Lloyd,29.0,SYR,SF,61.0,1045.0,8.6,0.391,0.295,-0.5,1.2,0.7,0.03,,1957
66.0,Dave Piontek,23.0,CIN,SF,71.0,1032.0,11.2,0.426,0.38,0.3,1.1,1.4,0.066,,1957
67.0,Togo Palazzi,25.0,SYR,SF,67.0,1001.0,15.8,0.442,0.295,1.0,1.0,2.0,0.094,,1957
68.0,Dick Schnittker,29.0,MNL,SF,50.0,979.0,15.4,0.495,0.664,2.2,0.3,2.6,0.125,,1957
69.0,Phil Jordon,24.0,2TM,C,58.0,898.0,16.1,0.443,0.199,0.7,0.8,1.5,0.082,,1957
69.0,Phil Jordon,24.0,NYK,,12.0,75.0,17.5,0.505,0.176,0.2,0.1,0.2,0.15,,1957
69.0,Phil Jordon,24.0,DET,C,46.0,823.0,16.0,0.438,0.201,0.6,0.7,1.3,0.075,,1957
70.0,Monk Meineke,27.0,CIN,PF,67.0,792.0,10.1,0.405,0.339,-0.3,0.9,0.7,0.04,,1957
71.0,Paul Seymour,30.0,SYR,PG,64.0,763.0,9.9,0.39,0.2,-0.4,0.8,0.5,0.028,,1957
72.0,Joe Holup,23.0,2TM,SF,53.0,740.0,10.4,0.396,0.338,-0.3,0.7,0.3,0.021,,1957
72.0,Joe Holup,23.0,SYR,SF,16.0,133.0,5.3,0.328,0.404,-0.3,0.1,-0.2,-0.065,,1957
72.0,Joe Holup,23.0,DET,SF,37.0,607.0,11.5,0.414,0.321,0.0,0.5,0.5,0.04,,1957
